code_name,weather_name,Levenshtein_Distance
Easton Municipal,"LAWTON MUNICIPAL AIRPORT, OK US",3
Sola Airport,"SITKA AIRPORT, AK US",3
Cooma Airport,"CORDOVA AIRPORT, AK US",3
Kaoma Airport,"NOME AIRPORT, AK US",3
Nain Airport,"NOME AIRPORT, AK US",3
Akita Airport,"SITKA AIRPORT, AK US",3
Ocean Falls Airport,"GREAT FALLS AIRPORT, MT US",3
Dunbar Airport,"JUNEAU AIRPORT, AK US",3
Beijing Airport,"REDDING AIRPORT, CA US",3
Goba Airport,"NOME AIRPORT, AK US",3
Juba Airport,"JUNEAU AIRPORT, AK US",3
Gao Airport,"RENO AIRPORT, NV US",3
Otu Airport,"NOME AIRPORT, AK US",3
Kotlik Airport,"KODIAK AIRPORT, AK US",3
Reston Airport,"BRISTOL AIRPORT, TN US",3
Tela Airport,"RENO AIRPORT, NV US",3
Nuuk Airport,"NOME AIRPORT, AK US",3
Eia Airport,"RENO AIRPORT, NV US",3
Southend,"SOUTH BEND AIRPORT, IN US",3
Sibu Airport,"SITKA AIRPORT, AK US",3
Mendi Airport,"RENO AIRPORT, NV US",3
Suki Airport,"SITKA AIRPORT, AK US",3
Rota Airport,"RENO AIRPORT, NV US",3
Pittsburgh International,"PLATTSBURGH INTERNATIONAL AIRPORT, NY US",3
Tiko Airport,"SITKA AIRPORT, AK US",3
Ranau Airport,"JUNEAU AIRPORT, AK US",3
Akolik Airport,"KODIAK AIRPORT, AK US",3
Mels Airport,"RENO AIRPORT, NV US",3
Reston Airport,"RENO AIRPORT, NV US",3
Bodo Airport,"NOME AIRPORT, AK US",3
Reston Airport,"REDMOND AIRPORT, OR US",3
Jinja Airport,"JUNEAU AIRPORT, AK US",3
Eia Airport,"SITKA AIRPORT, AK US",3
Noatak Airport,"KODIAK AIRPORT, AK US",3
Formosa Airport,"CORDOVA AIRPORT, AK US",3
Ranau Airport,"RENO AIRPORT, NV US",3
Rioja Airport,"SITKA AIRPORT, AK US",3
Soyo Airport,"NOME AIRPORT, AK US",3
Chester Airport,"MANCHESTER AIRPORT, NH US",3
Rota Airport,"SITKA AIRPORT, AK US",3
Sibiu Airport,"SITKA AIRPORT, AK US",3
Marina Municipal,"SALINA MUNICIPAL AIRPORT, KS US",3
Orange Airport,"WRANGELL AIRPORT, AK US",3
Weed Airport,"RENO AIRPORT, NV US",3
Emmen Airport,"NOME AIRPORT, AK US",3
Bangkok International,"BANGOR INTERNATIONAL AIRPORT, ME US",3
Cue Airport,"NOME AIRPORT, AK US",3
Kos Airport,"NOME AIRPORT, AK US",3
Carora Airport,"CORDOVA AIRPORT, AK US",3
Dalton Municipal,"LAWTON MUNICIPAL AIRPORT, OK US",3
Bader Field,"BAKERSFIELD AIRPORT, CA US",3
Ouvea Airport,"JUNEAU AIRPORT, AK US",3
Karluk Airport,"KAHULUI AIRPORT, HI US",3
Kalemie Airport,"LARAMIE AIRPORT, WY US",3
Coen Airport,"NOME AIRPORT, AK US",3
Umea Airport,"NOME AIRPORT, AK US",3
Vanguardia,"LAGUARDIA AIRPORT, NY US",3
New Orleans NAS,"NEW ORLEANS AIRPORT, LA US",3
Sedona Airport,"REDMOND AIRPORT, OR US",3
Paro Airport,"RENO AIRPORT, NV US",3
Bodo Airport,"RENO AIRPORT, NV US",3
Minna Airport,"SITKA AIRPORT, AK US",3
Nyac Airport,"NOME AIRPORT, AK US",3
Medina Airport,"REDDING AIRPORT, CA US",3
Labe Airport,"NOME AIRPORT, AK US",3
Jinja Airport,"SITKA AIRPORT, AK US",3
Sola Airport,"NOME AIRPORT, AK US",3
Goa Airport,"NOME AIRPORT, AK US",3
Eek Airport,"RENO AIRPORT, NV US",3
Jos Airport,"NOME AIRPORT, AK US",3
Bislig Airport,"BISHOP AIRPORT, CA US",3
Genting Airport,"REDDING AIRPORT, CA US",3
Dodoma Airport,"CORDOVA AIRPORT, AK US",3
Divo Airport,"RENO AIRPORT, NV US",3
Kobuk Airport,"KODIAK AIRPORT, AK US",3
Cicia Airport,"SITKA AIRPORT, AK US",3
Kamusi Airport,"KAHULUI AIRPORT, HI US",3
Rota Airport,"NOME AIRPORT, AK US",3
Vrems Airport,"RENO AIRPORT, NV US",3
Tiko Airport,"RENO AIRPORT, NV US",3
Ndola Airport,"NOME AIRPORT, AK US",3
Trenton Airport,"RENO AIRPORT, NV US",3
Mora Airport,"NOME AIRPORT, AK US",3
Umea Airport,"JUNEAU AIRPORT, AK US",3
Lumi Airport,"NOME AIRPORT, AK US",3
Faro Airport,"RENO AIRPORT, NV US",3
Banz Airport,"RENO AIRPORT, NV US",3
Kobe,"NOME AIRPORT, AK US",3
Brenoux,"RENO AIRPORT, NV US",3
Simbai Airport,"SITKA AIRPORT, AK US",3
Jumla Airport,"JUNEAU AIRPORT, AK US",3
Tulear Airport,"JUNEAU AIRPORT, AK US",3
Mao Airport,"RENO AIRPORT, NV US",3
Deering Airport,"REDDING AIRPORT, CA US",3
Komo Airport,"RENO AIRPORT, NV US",3
Coen Airport,"RENO AIRPORT, NV US",3
Kiavak Airport,"KODIAK AIRPORT, AK US",3
Minto Airport,"RENO AIRPORT, NV US",3
Bangoka International,"BANGOR INTERNATIONAL AIRPORT, ME US",3
Vigo Airport,"RENO AIRPORT, NV US",3
Aniak Airport,"KODIAK AIRPORT, AK US",3
Columbia Metropolitan,"COLUMBUS METROPOLITAN AIRPORT, GA US",3
Lifuka Airport,"SITKA AIRPORT, AK US",3
Ilebo Airport,"RENO AIRPORT, NV US",3
Arenal,"RENO AIRPORT, NV US",3
Kenora Airport,"RENO AIRPORT, NV US",3
Red Dog Airport,"REDDING AIRPORT, CA US",3
Bunia Airport,"JUNEAU AIRPORT, AK US",3
Amari Airport,"AMARILLO AIRPORT, TX US",3
Shimla Airport,"SITKA AIRPORT, AK US",3
Omak Airport,"NOME AIRPORT, AK US",3
Lodja Airport,"KODIAK AIRPORT, AK US",3
Leon Airport,"RENO AIRPORT, NV US",3
Wanigela Airport,"WRANGELL AIRPORT, AK US",3
