"id","name","code"
10277,"Alexandria International","ALY"
10278,"Alitak Seaplane Base","ALZ"
10279,"Amarillo International","AMA"
10280,"Ahmedabad Airport","AMD"
10281,"Ama Airport","AMF"
10282,"Amboin Airport","AMG"
10283,"Arba Minch Airport","AMH"
10284,"Rembiga","AMI"
10285,"Animas Air Park","AMK"
10286,"Puerto Armuelles Airport","AML"
10287,"Amman Airport","AMM"
10288,"Gratiot Community","AMN"
10289,"Mao Airport","AMO"
10290,"Ampanihy Airport","AMP"
10291,"Pattimura","AMQ"
10292,"Schiphol","AMS"
10294,"Ames Municipal","AMW"
10295,"Ammaroo Station","AMX"
10296,"Ambatomainty Airport","AMY"
10297,"Anaheim-Disneyland HP","ANA"
10298,"Anniston Metro","ANB"
10299,"Anchorage International","ANC"
10300,"Anderson Regional","AND"
10301,"Angers Marce","ANE"
10302,"Andres Sabella International","ANF"
10303,"Angouleme Airport","ANG"
10304,"Aniak Airport","ANI"
10305,"Etimesgut","ANK"
10306,"Antsirabato","ANM"
10307,"Annette Island","ANN"
10308,"Angoche Airport","ANO"
10309,"Lee","ANP"
10310,"Antwerp-Brussels North","ANR"
10311,"Andahuaylas Airport","ANS"
10312,"Antigua","ANU"
10313,"Anvik Airport","ANV"
10314,"Andoya","ANX"
10317,"Lima Allen County","AOH"
10318,"Ancona Falconara","AOI"
10319,"Aomori Airport","AOJ"
10320,"Karpathos Airport","AOK"
10321,"Paso de Los Libres Airport","AOL"
10322,"Altoona-Blair County","AOO"
10323,"Sultan Abdul Halim","AOR"
10324,"Amook Bay Airport","AOS"
10325,"Arapahoe County","APA"
10326,"Apolo Airport","APB"
10327,"Napa County","APC"
10328,"San Juan Aposento Airport","APE"
10329,"Naples Municipal","APF"
10330,"Phillips AAF","APG"
10331,"Apataki Airport","APK"
10332,"Nampula Airport","APL"
10333,"Alpena County Regional","APN"
10334,"Apartado Airport","APO"
10335,"April River Airport","APR"
10336,"Marion County Brown Field","APT"
10337,"Apple Valley Airport","APV"
10338,"Faleolo","APW"
10339,"Al Qaisumah","AQI"
10340,"Aqaba King Hussein International","AQJ"
10342,"Rodriguez Ballon International","AQP"
10343,"Saqani Airport","AQS"
10344,"Girdwood Airport","AQY"
10345,"Russellville Regional","AR1"
10346,"Dennis F Cantrell Field","AR2"
10347,"Acadiana Reg","ARA"
10348,"Ann Arbor Municipal","ARB"
10349,"Arctic Village Airport","ARC"
10350,"Arcadia Municipal","ARD"
10351,"Antonio/Nery/Juarbe Pol","ARE"
10352,"Walnut Ridge Regional","ARG"
10353,"Arkhangelsk Airport","ARH"
10354,"Chacalluta","ARI"
10355,"Arusha Airport","ARK"
10356,"Armidale Airport","ARM"
10357,"Arlanda","ARN"
10358,"Aragip Airport","ARP"
10359,"Arauquita Airport","ARQ"
10360,"Aragarcas Airport","ARS"
10361,"Watertown International","ART"
10362,"Aracatuba Airport","ARU"
10363,"Lakeland/Noble F. Lee Memorial Field","ARV"
10364,"Arad Airport","ARW"
