AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_STATE_NAME,LATITUDE,LONGITUDE
10074,A61,Cape Sarichef AFS,"Cape Sarichef, AK",1,Alaska,54.58333333,-164.91250000
10074,A61,Cape Sarichef Airport,"Cape Sarichef, AK",1,Alaska,54.58250000,-164.91444444
10075,A62,Taylor Mountain,"Taylor Mountain Mine, AK",1,Alaska,60.86777778,-157.39194444
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,Alaska,65.31111111,-143.13527778
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,Alaska,65.31138889,-143.13555556
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,Alaska,65.31138889,-143.13555556
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,Alaska,65.31166667,-143.13416667
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,Alaska,65.31166667,-143.13416667
10078,A65,Karluk Portage Airport,"Karluk Portage, AK",1,Alaska,57.53833333,-154.16444444
10079,A66,Hope Airport,"Hope, AK",1,Alaska,60.90416667,-149.62388889
10079,A66,Hope Airport,"Hope, AK",1,Alaska,60.90416667,-149.62388889
10079,A66,Hope Airport,"Hope, AK",1,Alaska,60.90555556,-149.62388889
10079,A66,Hope Airport,"Hope, AK",1,Alaska,60.90722222,-149.62277778
10079,A66,Hope Airport,"Hope, AK",1,Alaska,60.90722222,-149.62277778
10080,A67,Viekoda Bay Airport,"Viekoda Bay, AK",1,Alaska,57.84944444,-153.11527778
10082,A69,Cathedral Strip,"Cold Bay, AK",1,Alaska,55.74000000,-162.12527778
10083,A70,Village Islands Airport,"Village Islands, AK",1,Alaska,57.77416667,-153.54472222
10084,A71,Bear Cove Farm,"Homer, AK",1,Alaska,59.73833333,-151.03000000
10085,A72,Chinitna Bay Airport,"Chinitna Bay, AK",1,Alaska,59.83333333,-152.58472222
10086,A73,McKinley National Park,"McKinley Park, AK",1,Alaska,63.73250000,-148.91055556
10087,A74,Dog Fish Bay,"Nanwalek, AK",1,Alaska,59.24111111,-151.87722222
10088,A75,Malina Bay Airport,"Malina Bay, AK",1,Alaska,58.17194444,-152.89416667
10089,A76,Red Fox Bay Airport,"Red Fox Bay, AK",1,Alaska,58.46444444,-152.59305556
10090,A77,Shearwater Airport,"Shearwater, AK",1,Alaska,57.34333333,-152.89722222
10091,A78,Lake,"Cape Simpson, AK",1,Alaska,71.03000000,-154.44361111
10092,A79,Cape Simpson No. 1,"Cape Simpson, AK",1,Alaska,71.50166667,-154.03388889
10093,A80,Cape Simpson No. 7,"Cape Simpson, AK",1,Alaska,70.57388889,-155.32138889
10094,A81,Cape Simpson #1,"Aglaq, AK",1,Alaska,70.66277778,-154.83666667
10095,A82,Nikiski Private Airstrip,"Nikiski, AK",1,Alaska,60.69027778,-151.28888889
10096,A83,Petrof Point Airport,"Petrof Point, AK",1,Alaska,59.37638889,-150.76500000
10097,A84,Denali West Lodge Private,"Denali, AK",1,Alaska,63.75555556,-147.93000000
10098,A85,Big River Airport,"Big River, AK",1,Alaska,61.85944444,-154.27666667
10100,A87,Carry Inlet Airport,"Carry Inlet, AK",1,Alaska,58.58305556,-152.44583333
10102,A89,Montague Island Airport,"Montague Island, AK",1,Alaska,59.92500000,-147.51666667
10103,A90,Shannon Pond Airport,"Shannon Pond, AK",1,Alaska,59.03916667,-158.46388889
10104,A91,Omalik Lagoon Airport,"Omalik Lagoon, AK",1,Alaska,69.15555556,-163.49722222
10105,A92,Omolik Lagoon Airport,"Omolik Lagoon, AK",1,Alaska,69.14805556,-163.51027778
10106,A93,Bradley Lake Project Airport,"Bradley Lake Project, AK",1,Alaska,59.79166667,-151.26666667
10107,A94,Ice Strip,"Barrow, AK",1,Alaska,70.57416667,-155.31805556
10108,A95,Ice Strip,"Barrow, AK",1,Alaska,70.31194444,-153.24916667
10109,A96,Ice Strip,"Barrow, AK",1,Alaska,70.98083333,-157.09500000
10110,A97,Akulik Air Strip,"Akulik, AK",1,Alaska,68.98555556,-163.47972222
10111,A98,Deadfall Air Strip,"Deadfall, AK",1,Alaska,69.17083333,-163.25638889
10112,A99,Eagle Creek Airport,"Eagle Creek, AK",1,Alaska,68.67666667,-162.64694444
10113,AA1,Ice Kong,"Bethel, AK",1,Alaska,59.95277778,-162.61694444
10116,AA4,Glacier Split,"Kachemak Bay, AK",1,Alaska,59.63333333,-151.20833333
10117,AA5,Selby Lake Airport,"Selby Lake, AK",1,Alaska,66.95583333,-155.61500000
10118,AAA,Anaa Airport,"Anaa, French Polynesia",823,,-17.35388889,-145.50972222
10118,AAA,Anaa Airport,"Anaa, French Polynesia",823,,-17.35250000,-145.51000000
10119,AAB,Arrabury Station,"Arrabury, Australia",802,,-26.70000000,141.04166667
10120,AAC,El Arish International,"El Arish, Egypt",591,,31.05444444,33.81916667
10120,AAC,El Arish International,"El Arish, Egypt",591,,31.05555556,33.82750000
10120,AAC,El Arish International,"El Arish, Egypt",591,,31.07333333,33.83583333
10120,AAC,El Arish International,"El Arish, Egypt",591,,31.07638889,33.83333333
10121,AAE,Rabah Bitat,"Annaba, Algeria",500,,36.82166667,7.81000000
10121,AAE,Rabah Bitat,"Annaba, Algeria",500,,36.82222222,7.80944444
10121,AAE,Rabah Bitat,"Annaba, Algeria",500,,36.82944444,7.81388889
10122,AAF,Apalachicola Regional,"Apalachicola, FL",33,Florida,29.72750000,-85.02750000
10122,AAF,Apalachicola Regional,"Apalachicola, FL",33,Florida,29.72750000,-85.02750000
10122,AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",33,Florida,29.72750000,-85.02750000
10122,AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",33,Florida,29.72750000,-85.02750000
10123,AAH,Aachen Merzbruck,"Aachen, Germany",429,,50.82305556,6.18750000
10123,AAH,Aachen Merzbrueck,"Aachen, Germany",429,,50.82166667,6.18416667
10123,AAH,Aachen Merzbrueck,"Aachen, Germany",429,,50.82305556,6.18750000
10123,AAH,Aachen Merzbrueck,"Aachen, Germany",429,,50.82305556,6.18750000
10123,AAH,Aachen/Merzbruck,"Aachen, Germany",429,,50.82305556,6.18611111
10123,AAH,Aachen/Merzbruck,"Aachen, Germany",429,,50.82305556,6.18750000
10123,AAH,Aachen/Merzbruck,"Aachen, West Germany",429,,50.82305556,6.18611111
10124,AAI,Arraias Airport,"Arraias, Brazil",316,,-13.02583333,-46.88361111
10124,AAI,Arraias Airport,"Arraias, Brazil",316,,-13.02583333,-46.88361111
10124,AAI,Arraias Airport,"Arraias, Brazil",316,,-13.02500000,-46.88416667
10124,AAI,Arraias Airport,"Arraias, Brazil",316,,-13.02500000,-46.88416667
10124,AAI,Arraias Airport,"Arraias, Brazil",316,,-12.91666667,-46.93333333
10125,AAL,Aalborg Airport,"Aalborg, Denmark",419,,57.09277778,9.84916667
10125,AAL,Aalborg Airport,"Aalborg, Denmark",419,,57.09305556,9.85000000
10125,AAL,Aalborg Airport,"Aalborg, Denmark",419,,57.09416667,9.85583333
10126,AAM,Malamala,"Mala Mala, South Africa",562,,-24.81694444,31.54416667
10126,AAM,Malamala,"Mala Mala, South Africa",562,,-24.80833333,31.54166667
10127,AAN,Al Ain International,"Al Ain, United Arab Emirates",678,,24.26166667,55.60916667
10127,AAN,Al Ain International,"Al Ain, United Arab Emirates",678,,24.26166667,55.60916667
10127,AAN,Al Ain International,"Al Ain, United Arab Emirates",678,,24.26194444,55.60750000
10128,AAO,Anaco Airport,"Anaco, Venezuela",388,,9.43000000,-64.47083333
10128,AAO,Anaco Airport,"Anaco, Venezuela",388,,9.43000000,-64.47083333
10128,AAO,Anaco Airport,"Anaco, Venezuela",388,,9.43027778,-64.47083333
10128,AAO,Anaco Airport,"Anaco, Venezuela",388,,9.43027778,-64.47083333
10128,AAO,Anaco Airport,"Anaco, Venezuela",388,,9.43194444,-64.46388889
10129,AAQ,Anapa Airport,"Anapa, Russia",475,,45.00222222,37.34722222
10129,AAQ,Vityazevo,"Anapa, Russia",475,,44.90000000,37.31666667
10129,AAQ,Vityazevo,"Anapa, Russia",475,,45.00222222,37.34722222
10129,AAQ,Vityazevo,"Anapa, Russia",475,,45.00222222,37.34722222
10130,AAR,Aarhus Airport,"Aarhus, Denmark",419,,56.30000000,10.61888889
10130,AAR,Aarhus Airport,"Aarhus, Denmark",419,,56.30416667,10.61944444
10130,AAR,Tirstrup,"Aarhus, Denmark",419,,56.30388889,10.62000000
10130,AAR,Tirstrup,"Aarhus, Denmark",419,,56.31027778,10.61805556
10131,AAU,Asau W Sam,"Asau, Samoa",892,,-13.51666667,-172.65000000
10132,AAX,Araxa Airport,"Araxa, Brazil",316,,-19.56805556,-46.92916667
10132,AAX,Araxa Airport,"Araxa, Brazil",316,,-19.56333333,-46.96027778
10132,AAX,Romeu Zema,"Araxa, Brazil",316,,-19.56333333,-46.96027778
10134,ABD,Abadan Airport,"Abadan, Iran",632,,30.36527778,48.23305556
10134,ABD,Abadan Airport,"Abadan, Iran",632,,30.36611111,48.23222222
10134,ABD,Abadan Airport,"Abadan, Iran",632,,30.36611111,48.23222222
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",23,Pennsylvania,40.65222222,-75.44055556
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",23,Pennsylvania,40.65222222,-75.44055556
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",23,Pennsylvania,40.65222222,-75.44027778
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",23,Pennsylvania,40.65222222,-75.44027778
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",23,Pennsylvania,40.65250000,-75.44027778
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",23,Pennsylvania,40.65472222,-75.43833333
10136,ABI,Abilene Regional,"Abilene, TX",74,Texas,32.40944444,-99.67972222
10136,ABI,Abilene Regional,"Abilene, TX",74,Texas,32.41111111,-99.68166667
10136,ABI,Abilene Regional,"Abilene, TX",74,Texas,32.41138889,-99.68194444
10137,ABJ,Abidjan Felix Houphouet Boigny International,"Abidjan, Cote d'Ivoire",533,,5.25555556,-3.92916667
10137,ABJ,Abidjan Felix Houphouet Boigny International,"Abidjan, Cote d'Ivoire",533,,5.26138889,-3.92583333
10137,ABJ,Abidjan Felix Houphouet Boigny International,"Abidjan, Cote d'Ivoire",533,,5.26138889,-3.92583333
10137,ABJ,Felix Houphouet Boigny Abidjan,"Abidjan, Cote d'Ivoire",533,,5.26138889,-3.92583333
10137,ABJ,Felix Houphouet Boigny Abidjan International,"Abidjan, Cote d'Ivoire",533,,5.26138889,-3.92583333
10137,ABJ,Felix Houphouet Boigny Abidjan International,"Abidjan, Cote d'Ivoire",533,,5.26138889,-3.92583333
10138,ABK,Kabri Dar Airport,"Kabri Dar, Ethiopia",522,,6.73388889,44.26611111
10138,ABK,Kebri Dahar,"Kabri Dar, Ethiopia",522,,6.73277778,44.24138889
10138,ABK,Kebri Dahar,"Kabri Dar, Ethiopia",522,,6.73277778,44.24138889
10138,ABK,Kebri Dahar,"Kabri Dar, Ethiopia",522,,6.73277778,44.24166667
10138,ABK,Kebri Dahar,"Kabri Dar, Ethiopia",522,,6.73277778,44.24166667
10139,ABL,Ambler River,"Ambler, AK",1,Alaska,67.08750000,-157.84583333
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",86,New Mexico,35.03888889,-106.60833333
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",86,New Mexico,35.03888889,-106.60833333
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",86,New Mexico,35.04027778,-106.60916667
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",86,New Mexico,35.04027778,-106.60916667
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",86,New Mexico,35.04166667,-106.60638889
10141,ABR,Aberdeen Regional,"Aberdeen, SD",67,South Dakota,45.44666667,-98.42250000
10141,ABR,Aberdeen Regional,"Aberdeen, SD",67,South Dakota,45.44666667,-98.42250000
10141,ABR,Aberdeen Regional,"Aberdeen, SD",67,South Dakota,45.44833333,-98.42250000
10141,ABR,Aberdeen Regional,"Aberdeen, SD",67,South Dakota,45.44916667,-98.42194444
10141,ABR,Aberdeen Regional,"Aberdeen, SD",67,South Dakota,45.44916667,-98.42194444
10141,ABR,Aberdeen Regional,"Aberdeen, SD",67,South Dakota,45.44972222,-98.42166667
10142,ABS,Abu Simbel Airport,"Abu Simbel, Egypt",591,,22.37222222,31.61527778
10142,ABS,Abu Simbel Airport,"Abu Simbel, Egypt",591,,22.37472222,31.60944444
10142,ABS,Abu Simbel Airport,"Abu Simbel, Egypt",591,,22.37472222,31.60944444
10142,ABS,Abu Simbel Airport,"Abu Simbel, Egypt",591,,22.37583333,31.61166667
10142,ABS,Abu Simbel Airport,"Abu Simbel, Egypt",591,,22.37583333,31.61166667
10143,ABT,Al Baha,"Al-Baha, Saudi Arabia",670,,20.29611111,41.63416667
10143,ABT,Al-Baha Airport,"Al-Baha, Saudi Arabia",670,,20.29611111,41.63416667
10143,ABT,King Saud Bin Abdulaziz,"Al-Baha, Saudi Arabia",670,,20.29611111,41.63416667
10143,ABT,King Saud Bin Abdulaziz,"Al-Baha, Saudi Arabia",670,,20.29611111,41.63416667
10143,ABT,King Saud Bin Abdulaziz,"Al-Baha, Saudi Arabia",670,,20.29833333,41.63583333
10143,BBH,Al-Baha Airport,"Al-Baha, Saudi Arabia",670,,20.29611111,41.63416667
10144,ABV,Abuja Nnamdi Azikiwe International,"Abuja, Nigeria",555,,9.00555556,7.26611111
10144,ABV,Abuja Nnamdi Azikiwe International,"Abuja, Nigeria",555,,9.00666667,7.26305556
10144,ABV,Abuja Nnamdi Azikiwe International,"Abuja, Nigeria",555,,9.00666667,7.26305556
10144,ABV,Nnamdi Azikiwe International,"Abuja, Nigeria",555,,9.00666667,7.26305556
10144,ABV,Nnamdi Azikiwe International,"Abuja, Nigeria",555,,9.00666667,7.26305556
10145,ABX,Albury Airport,"Albury, Australia",802,,-36.06833333,146.97666667
10145,ABX,Albury Airport,"Albury, Australia",802,,-36.06777778,146.95805556
10146,ABY,Southwest Georgia Regional,"Albany, GA",34,Georgia,31.53222222,-84.19611111
10146,ABY,Southwest Georgia Regional,"Albany, GA",34,Georgia,31.53555556,-84.19444444
10147,ABZ,Aberdeen Dyce,"Aberdeen, United Kingdom",493,,57.20194444,-2.19777778
10147,ABZ,Aberdeen Dyce,"Aberdeen, United Kingdom",493,,57.20194444,-2.19777778
10147,ABZ,Aberdeen Dyce,"Aberdeen, United Kingdom",493,,57.20250000,-2.19805556
10147,ABZ,Aberdeen Dyce,"Aberdeen, United Kingdom",493,,57.20361111,-2.19916667
10147,ABZ,Aberdeen Dyce,"Aberdeen, United Kingdom",493,,57.20361111,-2.19916667
10147,ABZ,Aberdeen Dyce,"Aberdeen, United Kingdom",493,,57.20416667,-2.19861111
10148,ACA,Acapulco International,"Acapulco, Mexico",148,,16.75722222,-99.75388889
10148,ACA,General Juan N Alvarez International,"Acapulco, Mexico",148,,16.75555556,-99.76694444
10148,ACA,General Juan N Alvarez International,"Acapulco, Mexico",148,,16.75694444,-99.75388889
10149,ACB,Antrim County,"Bellaire, MI",43,Michigan,44.98472222,-85.19916667
10149,ACB,Antrim County,"Bellaire, MI",43,Michigan,44.98861111,-85.19833333
10150,ACC,Accra Kotoka International,"Accra, Ghana",529,,5.59527778,-0.17083333
10150,ACC,Accra Kotoka International,"Accra, Ghana",529,,5.60444444,-0.16750000
10150,ACC,Kotoka International,"Accra, Ghana",529,,5.60444444,-0.16750000
10150,ACC,Kotoka International,"Accra, Ghana",529,,5.60500000,-0.16722222
10151,ACE,Lanzarote,"Arrecife, Spain",482,,28.94250000,-13.60472222
10151,ACE,Lanzarote,"Arrecife, Spain",482,,28.94555556,-13.60527778
10152,ACH,St Gallen Altenrhein,"Altenrhein, Switzerland",486,,47.48500000,9.56000000
10152,ACH,St Gallen Altenrhein,"Altenrhein, Switzerland",486,,47.48527778,9.56000000
10153,ACI,Alderney Airport,"Alderney, United Kingdom",493,,49.70611111,-2.21472222
10153,ACI,Alderney Airport,"Alderney, United Kingdom",493,,49.70611111,-2.21472222
10153,ACI,Alderney Airport,"Alderney, United Kingdom",493,,49.70666667,-2.21472222
10153,ACI,Alderney Airport,"Alderney, United Kingdom",493,,49.70666667,-2.21472222
10153,ACI,Alderney Airport,"Alderney, United Kingdom",493,,49.70666667,-2.21444444
10153,ACI,Alderney Airport,"Alderney, United Kingdom",493,,49.70694444,-2.21527778
10153,ACI,Alderney Airport,"Alderney, United Kingdom",493,,49.70694444,-2.21472222
10154,ACK,Nantucket Memorial,"Nantucket, MA",13,Massachusetts,41.25305556,-70.06027778
10154,ACK,Nantucket Memorial,"Nantucket, MA",13,Massachusetts,41.25305556,-70.06027778
