"origin_airport","latitude","longitude","total_flights","delayed_flights_count"
"LSE",43.87916667,-91.25666667,2,0.0
"RFD",42.19527778,-89.09722222,3,1.0
"CSG",32.51638889,-84.93888889,1,0.0
"DHN",31.32111111,-85.44944444,1,0.0
"PIH",42.91333333,-112.59444444,1,0.0
"AEX",31.32416667,-92.54694444,5,1.0
"SWO",36.16138889,-97.08583333,1,0.0
"ADQ",57.75,-152.49388889,3,0.0
"YUM",32.65666667,-114.60583333,2,0.0
"CNY",38.755,-109.75472222,1,1.0
